record_id,source,literacy_band,pool_size,rank,precision_at_1,recall_at_5,recall_at_10,reciprocal_rank
mirage_37841,mirage,low,4264,1,1,1,1,1.0
medmcqa_25776,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21707,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_24964,medmcqa,low,4264,9,0,0,1,0.1111111111111111
medmcqa_26477,medmcqa,low,4264,1,1,1,1,1.0
mirage_33122,mirage,low,4264,1,1,1,1,1.0
medmcqa_20832,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19745,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_21888,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25065,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22241,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_30501,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23889,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_20990,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_15457,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27968,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18848,medmcqa,low,4264,1,1,1,1,1.0
mirage_37033,mirage,low,4264,1,1,1,1,1.0
medmcqa_28728,medmcqa,low,4264,1,1,1,1,1.0
mirage_34014,mirage,low,4264,1,1,1,1,1.0
medmcqa_29090,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18370,medmcqa,low,4264,1,1,1,1,1.0
mirage_34443,mirage,low,4264,1,1,1,1,1.0
medmcqa_20001,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22555,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22431,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_25539,medmcqa,low,4264,55,0,0,0,0.01818181818181818
medmcqa_23294,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_14188,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13568,medmcqa,low,4264,1,1,1,1,1.0
mirage_37871,mirage,low,4264,1,1,1,1,1.0
mirage_37696,mirage,low,4264,1,1,1,1,1.0
medmcqa_26405,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19999,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_23657,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_11842,medmcqa,low,4264,2,0,1,1,0.5
medmcqa_26089,medmcqa,low,4264,1,1,1,1,1.0
mirage_37367,mirage,low,4264,1,1,1,1,1.0
medmcqa_21358,medmcqa,low,4264,1,1,1,1,1.0
mirage_33577,mirage,low,4264,1,1,1,1,1.0
medmcqa_11905,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_29756,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_28723,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_18910,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13873,medmcqa,low,4264,1,1,1,1,1.0
mirage_34102,mirage,low,4264,2,0,1,1,0.5
medmcqa_16123,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12095,medmcqa,low,4264,1,1,1,1,1.0
mirage_37395,mirage,low,4264,1,1,1,1,1.0
medmcqa_14564,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_28905,medmcqa,low,4264,15,0,0,0,0.06666666666666667
medmcqa_27833,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_22220,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_26190,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27249,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_13267,medmcqa,low,4264,18,0,0,0,0.05555555555555555
medmcqa_23557,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20589,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_19412,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27006,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_16429,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_17426,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_30655,medmcqa,low,4264,1,1,1,1,1.0
mirage_37253,mirage,low,4264,1,1,1,1,1.0
medmcqa_26291,medmcqa,low,4264,1,1,1,1,1.0
mirage_37448,mirage,low,4264,1,1,1,1,1.0
medmcqa_26170,medmcqa,low,4264,4,0,1,1,0.25
medmcqa_22221,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27741,medmcqa,low,4264,245,0,0,0,0.004081632653061225
medmcqa_18687,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_20484,medmcqa,low,4264,12,0,0,0,0.08333333333333333
mirage_38003,mirage,low,4264,1,1,1,1,1.0
mirage_34518,mirage,low,4264,1,1,1,1,1.0
mirage_37454,mirage,low,4264,1,1,1,1,1.0
medmcqa_20918,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_29223,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_11870,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_27867,medmcqa,low,4264,3,0,1,1,0.3333333333333333
medmcqa_13312,medmcqa,low,4264,11,0,0,0,0.09090909090909091
medmcqa_18539,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_12010,medmcqa,low,4264,1,1,1,1,1.0
medmcqa_29328,medmcqa,low,4264,1,1,1,1,1.0
